Rank,Title,Citations,Year,URL,Description
21,DON: user interface presentation design assistant,104,1990,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GmcChLIAAAAJ&pagesize=50&citation_for_view=GmcChLIAAAAJ:UebtZRa9Y70C,"We describe a design tool, DON, which assists user interface designers in generating menu and dialog box presentations. An integrated knowledge base model serves as the foundation for developing thesetofdesignrulestoautomatevariousactivitiesofthe designprccess. Usefulandreusableknowledgeabouttheorganization of menus and dialog boxes is identified andencapsulated in the form of design rules.The basic approach we take is embedding a top-down design methodology in a tool that assists designers in organizing the information, selecting appropriate interface object classes and their attributes, and placing selected interface objects in a dialog box or a menu in a meaningful, logical, and consistent manner. We let the designer specify the conceptual design of an application, maintain high-level style preference profiles, customize the appearances of interface object classes whichmakeup aninterface …"
22,Computer Graphics: Principles and,98,1990,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GmcChLIAAAAJ&pagesize=50&citation_for_view=GmcChLIAAAAJ:SjuI4pbJlxcC,Description not available
23,Evaluating the efficiency and effectiveness of adaptive parsons problems,97,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GmcChLIAAAAJ&pagesize=50&citation_for_view=GmcChLIAAAAJ:bKqednn6t2AC,"Practice is essential for learning. There is evidence that solving Parsons problems (putting mixed up code blocks in order) is a more efficient, but just as effective, form of practice than writing code from scratch. However, not all students successfully solve every Parsons problem. Making the problems adaptive, so that the difficulty changes based on the learner's performance, should keep the learner in Vygotsky's zone of proximal development and maximize learning gains. This paper reports on a study comparing the efficiency and effectiveness of learning from solving adaptive Parsons problems vs non-adaptive Parsons problem vs writing the equivalent code. The adaptive Parsons problems used both intra-problem and inter-problem adaptation. Intra-problem adaptation means that if the learner is struggling to solve the current problem, the problem can dynamically be made easier. Inter-problem adaptation means …"
24,Dynamic process visualization,93,1986,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GmcChLIAAAAJ&pagesize=50&citation_for_view=GmcChLIAAAAJ:0EnyYjriUFMC,"An increasingly important use of computer graphics is to monitor such real-world processes as manufacturing plants, power plants, and refineries. As in many uses of computer graphics, the development of this application area has been programmer-intensive. As a consequence, system are being developed more slowly than is desired and they cost more than necessary. This article discusses some of the key issues and requirements involved in designing productivity tools for use in constructing monitoring systems. We have developed a prototype Process Visualization System (PVS) that allows nonprogrammers to construct graphics displays, and to establish relationships between these displays and changes in the data describing the process being monitored. With this system, customized, dynamically updated scenes can be created. The PVS allows users to construct symbols, to place them on the screen, and to …"
25,"Grundlagen der Computergraphik: Einführung, Konzepte, Methoden",85,1994,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GmcChLIAAAAJ&pagesize=50&citation_for_view=GmcChLIAAAAJ:MXK_kJrjxJIC,Description not available
26,"History, results, and bibliography of the user interface design environment (UIDE), an early model-based system for user interface design and implementation",80,1995,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GmcChLIAAAAJ&pagesize=50&citation_for_view=GmcChLIAAAAJ:hqOjcs7Dif8C,"UIDE, the User Interface Design Environment, was conceived in 1987 as a next-generation user interface design and implementation tool to embed application semantics into the earlier generation of User Interface Management Systems (UIMSs), which focused more on the look and feel of an interface. UIDE models an application’s data objects, actions, and attributes, and the pre- and post- conditions associated with the actions. The model is then used for a variety of design-time and run-time services, such as to: automatically create windows, menus, and control panels; critique the design for consistency and completeness; control execution of the application; enable and disable menu items and other controls and make windows visible and invisible; generate context-sensitive animated help, in which a mouse moves on the screen to show the user how to accomplish a task; generate text help explaining why …"
27,"S. k. Feiner, and JF Hughes",76,1990,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GmcChLIAAAAJ&pagesize=50&citation_for_view=GmcChLIAAAAJ:Br1UauaknNIC,Description not available
28,Controlling user interface objects through pre-and postconditions,74,1992,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GmcChLIAAAAJ&pagesize=50&citation_for_view=GmcChLIAAAAJ:5nxA0vEk-isC,"We have augmented user interface objects (i.e. windows, menus, buttons, sliders, ets.) with preconditions that determine their visibility and their enabled/disabled status and postconditions that are asserted when certain actions are performed on the object. Postconditions are associated with each functionally different action on the object. Attaching pre- and postconditions to interface objects provides several useful features, such as selective enabling of controls, rapid prototyping, and automatic generation of explanations and help text."
29,"Van Dam, A. Feiner, S. Hughes, J",70,1990,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GmcChLIAAAAJ&pagesize=50&citation_for_view=GmcChLIAAAAJ:4vMrXwiscB8C,Description not available
30,Supporting adaptive interfaces in a knowledge-based user interface environment,66,1993,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GmcChLIAAAAJ&pagesize=50&citation_for_view=GmcChLIAAAAJ:8k81kl-MbHgC,"Developing an adaptive interface requires a user interface that can be adapted, a user model, and an adaptation strategy. Research on adaptive interfaces in the past suffered from a lack of supporting tools which allow an interface to be easily created and modified. Also, adding adaptivity to a user interface so far has not been supported by any user interface systems or environments.In this paper, we present an overview of a knowledge base model of the User Interface Design Environment (UIDE). UIDE usesthe knowledge of an application to support the run-time execution of the application’s interface and provides various kinds of automatic help. We present how the knowledge model can be used as a basic construct of a user model. Finally, we present adaptive interface and adaptive help behaviors that can be extended to the current UIDE architecture utilizing the user model. These behaviors are options from …"
