Rank,Title,Citations,Year,URL,Description
21,The work to make a home network work,290,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNalJ58AAAAJ&pagesize=50&citation_for_view=PNalJ58AAAAJ:WF5omc3nYNoC,"Recently, households have begun to adopt networking technologies to interconnect devices within the home. Yet little is known about the consequences for households of setting up and living with these complex networks, nor the impact of such technologies on the routines of the home. In this paper, we report findings from an empirical study of households containing complex networks of computer and audio/visual technologies. Our study finds that home networks require significant household effort not just to coordinate their use, but also their set up and maintenance. We also show how the coordination around networking has to be worked into the routines of the home and the householders."
22,Apparatus and method for use in collaboration services,267,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNalJ58AAAAJ&pagesize=50&citation_for_view=PNalJ58AAAAJ:IWHjjKOFINEC,"A ConnectIcon View is employed to establish collaborative communications between a plurality of participants in a group. Speci? cally, it is a dynamic visual representation of the participants of a group being invited to communicate together with their presence information, lists of documents and URLs (Uniform Resource Locators) to be examined, and a set of mechanisms (email, chat, voice, and the like) to initiate communication, each of which can be billed to the originator or otherwise as desired. The available presence information allows a user to employ the best mode of communicating for the instant purpose, namely, either asyn chronous communication or synchronous communication."
23,Robots in the wild: understanding long-term use,266,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNalJ58AAAAJ&pagesize=50&citation_for_view=PNalJ58AAAAJ:r0BpntZqJG4C,"It has long been recognized that novelty effects exist in the interaction with technologies. Despite this recognition, we still know little about the novelty effects associated with domestic robotic appliances and more importantly, what occurs after the novelty wears off. To address this gap, we undertook a longitudinal field study with 30 households to which we gave Roomba vacuuming robots and then observed use over six months. During this study, which spans over 149 home visits, we encountered methodological challenges in understanding households' usage patterns. In this paper we report on our longitudinal research, focusing particularly on the methods that we used 1) to understand human-robot interaction over time despite the constraints of privacy and temporality in the home, and 2) to uncover information when routines became less conscious to the participants themselves."
24,Method and apparatus for establishing and using a secure credential infrastructure,240,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNalJ58AAAAJ&pagesize=50&citation_for_view=PNalJ58AAAAJ:Zph67rFs4hoC,"We present technology that allows layman computer users to simply create, provision, and maintain secured infrastruc tureian instant PKI. This technology can be used in a wide variety of applications including wired and wireless net works, secure sensor networks (such as medical networks), emergency alert networks, as well as simply and automati cally provisioning network devices whether secure or not."
25,Listening in: practices surrounding iTunes music sharing,234,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNalJ58AAAAJ&pagesize=50&citation_for_view=PNalJ58AAAAJ:eQOLeE2rZwMC,"This paper presents a descriptive account of the social practices surrounding the iTunes music sharing of 13 participants in one organizational setting. Specifically, we characterize adoption, critical mass, and privacy; impression management and access control; the musical impressions of others that are created as a result of music sharing; the ways in which participants attempted to make sense of the dynamic system; and implications of the overlaid technical, musical, and corporate topologies. We interleave design implications throughout our results and relate those results to broader themes in a music sharing design space."
26,EatWell: sharing nutrition-related memories in a low-income community,226,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNalJ58AAAAJ&pagesize=50&citation_for_view=PNalJ58AAAAJ:M3ejUd6NZC8C,"Low-income African American communities face a disproportionate amount of diet-related health problems in the United States. To address this issue, we developed EatWell, a system that allows people to use their cell phones to create voice memories describing how they have tried to eat healthfully in their neighborhoods (e.g., at local restaurants) and listen to the memories that others have created. In this paper, we describe the results of our field trial of EatWell, specifically characterizing how our participants were able to craft stories that were both emotive and culturally-relevant, the challenges that arose in creating these memories and finally how sharing these stories facilitated a sense of community empowerment. We conclude by presenting implications for the design of future applications that facilitate the sharing of health-related experiences."
27,Let's play! Mobile health games for adults,220,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNalJ58AAAAJ&pagesize=50&citation_for_view=PNalJ58AAAAJ:JV2RwH3_ST0C,"Researchers have designed a variety of systems that promote wellness. However, little work has been done to examine how casual mobile games can help adults learn how to live healthfully. To explore this design space, we created OrderUP!, a game in which players learn how to make healthier meal choices. Through our field study, we found that playing OrderUP! helped participants engage in four processes of change identified by a well-established health behavior theory, the Transtheoretical Model: they improved their understanding of how to eat healthfully and engaged in nutrition-related analytical thinking, reevaluated the healthiness of their real life habits, formed helping relationships by discussing nutrition with others and started replacing unhealthy meals with more nutritious foods. Our research shows the promise of using casual mobile games to encourage adults to live healthier lifestyles."
28,In search of usable security: Five lessons from the field,211,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNalJ58AAAAJ&pagesize=50&citation_for_view=PNalJ58AAAAJ:0EnyYjriUFMC,"A new system reduces the time to enroll in a secure wireless network by two orders of magnitude, and it also gets high marks for usability and user satisfaction. This article provides a real-world example revealing five general lessons for usable, secure system design."
29,Domestic robot ecology: An initial framework to unpack long-term acceptance of robots at home,208,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNalJ58AAAAJ&pagesize=50&citation_for_view=PNalJ58AAAAJ:BqipwSGYUEgC,"It has been recognized that long-term effects exist in the interaction with robotic technologies. Despite this recognition, we still know little about how the temporal effects are associated with domestic robots. To bridge this gap, we undertook a long-term field study. We distributed Roomba vacuuming robots to 30 households, and observed the use over six months. During this study, which spans over 149 home visits, we identified how householders accepted robots as a part of the households via four temporal stages of pre-adoption, adoption, adaptation, and use/retention. With these findings, we took the first step toward establishing a framework, Domestic Robot Ecology (DRE). It shows a holistic view on the relationships that robots shape in the home. Further, it articulates how those relationships change over time. We suggest that DRE can become a useful tool to help design toward long-term acceptance of robotic …"
30,Putting it all together: Towards a pattern language for interaction design: A CHI 97 workshop,203,1998,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNalJ58AAAAJ&pagesize=50&citation_for_view=PNalJ58AAAAJ:4fKUyHm3Qg0C,"Pattern languages are representations that have been used in architecture and urban designer about twenty years. They J~ cus on the interaction between physical j@ m and social behavior, and express design solutions in an understandable and generalizable j@ m. But pattern languages are not simptv set of patterns intended to be universally applied; instead, they are actually meta-languages which, when used in a particular situations, generate situated design languages. This report describes a CHI97 workshop which explored the utility of partern languages J~ r interaction design. PPb discuss the workshofi rationale, the structure and process of the workshop, and some of the workshops results. In particular, we describe some patterns developed as part of the workshop, and our consequent reflections on the use of patterns and pattern languages as lingua Jganca r interaction design. This report concludes …"
